rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.91,0.2,93.77
2,2,Barcelona,Spanish Primera Division,3.14,0.43,91.93
3,3,Bayern Munich,German Bundesliga,3.18,0.51,91.13
4,4,Liverpool,Barclays Premier League,2.61,0.4,88.42
5,5,Real Madrid,Spanish Primera Division,2.48,0.41,87.1
6,8,Paris Saint-Germain,French Ligue 1,2.66,0.53,86.63
7,6,Atletico Madrid,Spanish Primera Division,2.19,0.32,86.0
8,7,Chelsea,Barclays Premier League,2.39,0.44,85.67
9,9,Manchester United,Barclays Premier League,2.47,0.51,85.07
10,12,Atalanta,Italy Serie A,2.53,0.56,84.69
11,10,Borussia Dortmund,German Bundesliga,2.58,0.62,84.17
12,13,Juventus,Italy Serie A,2.51,0.6,83.9
13,11,RB Leipzig,German Bundesliga,2.38,0.55,83.26
14,14,Internazionale,Italy Serie A,2.47,0.62,82.98
15,15,Sevilla FC,Spanish Primera Division,2.18,0.49,81.96
16,16,Villarreal,Spanish Primera Division,2.1,0.46,81.81
17,17,Tottenham Hotspur,Barclays Premier League,2.29,0.58,81.7
18,18,Real Sociedad,Spanish Primera Division,2.15,0.5,81.46
19,21,Arsenal,Barclays Premier League,2.15,0.51,81.34
20,23,Leicester City,Barclays Premier League,2.15,0.53,80.87
21,19,Bayer Leverkusen,German Bundesliga,2.17,0.55,80.59
22,22,Ajax,Dutch Eredivisie,2.67,0.9,79.89
23,20,Napoli,Italy Serie A,2.27,0.67,79.47
24,28,Lyon,French Ligue 1,2.2,0.65,78.9
25,24,Aston Villa,Barclays Premier League,2.18,0.65,78.41
26,25,FC Salzburg,Austrian T-Mobile Bundesliga,2.84,1.09,78.41
27,29,Borussia Monchengladbach,German Bundesliga,2.34,0.83,77.02
28,34,Eintracht Frankfurt,German Bundesliga,2.28,0.8,76.73
29,32,VfL Wolfsburg,German Bundesliga,2.07,0.67,76.58
30,27,AS Roma,Italy Serie A,2.27,0.8,76.52
31,26,AC Milan,Italy Serie A,2.22,0.79,76.18
32,30,West Ham United,Barclays Premier League,2.0,0.66,75.64
33,31,FC Porto,Portuguese Liga,2.15,0.78,75.26
34,35,Lille,French Ligue 1,1.79,0.54,75.05
35,33,Everton,Barclays Premier League,1.98,0.69,74.78
36,37,Zenit St Petersburg,Russian Premier Liga,2.15,0.82,74.32
37,40,AS Monaco,French Ligue 1,2.16,0.83,74.16
38,38,Southampton,Barclays Premier League,1.85,0.63,73.91
39,39,Brighton and Hove Albion,Barclays Premier League,1.92,0.68,73.85
40,42,Lazio,Italy Serie A,2.11,0.83,73.56
41,36,Benfica,Portuguese Liga,2.15,0.87,73.14
42,41,Getafe,Spanish Primera Division,1.64,0.53,72.6
43,43,Celta Vigo,Spanish Primera Division,1.93,0.74,72.54
44,46,Real Betis,Spanish Primera Division,1.97,0.8,71.82
45,44,Shakhtar Donetsk,UEFA Europa League,2.23,1.0,71.75
46,47,Wolverhampton,Barclays Premier League,1.85,0.72,71.69
47,48,Athletic Bilbao,Spanish Primera Division,1.75,0.65,71.65
48,50,Olympiacos,Greek Super League,1.91,0.78,71.43
49,53,Eibar,Spanish Primera Division,1.7,0.63,71.18
50,45,VfB Stuttgart,German Bundesliga,2.13,0.96,70.81
51,49,Club Brugge,Belgian Jupiler League,1.94,0.83,70.63
52,51,1. FC Union Berlin,German Bundesliga,1.84,0.77,70.26
53,54,Flamengo,Brasileiro Série A,2.05,0.93,70.07
54,55,TSG Hoffenheim,German Bundesliga,2.12,0.99,70.0
55,57,Rangers,Scottish Premiership,1.96,0.88,69.78
56,52,SC Freiburg,German Bundesliga,2.04,0.97,69.04
57,58,Young Boys,Swiss Raiffeisen Super League,1.96,0.95,68.23
